track_id,spotify artist_name,spotify track_name,spotify valence,energy,i guitar,o slow,i drums,o fast,i piano,i synth,o loud,i flute,i sitar,o solo,i choir,o beats,o quiet,i no voice,i strings,i voice,i harp,g TSNE1,g TSNE2
30OGRrOHvUKIYYiGwklpoQ,Baby Bash,Intro (feat. Chingo Bling),0.5579999999999999,0.6128054133563334,0.039198697,0.0039946316,0.035883363,0.032312706,0.005710542,0.0046256315,0.01534854,0.0005963736,0.006047308,0.0013400085,0.0060256688999999995,0.0119023412,0.0016343261000000002,0.009519985,0.0139638071,0.32263815949999997,0.0013574676,0.29175836,0.52600604
5atCrwrn8zo69is3zRIM3Z,Above & Beyond,Is It Love? (1001),0.306,0.5148788393408883,0.0009050356,0.016616618,0.05071045,0.025778998,0.003055297,0.099335164,0.0021930882,0.0027390618,0.0011444752,9.819113e-05,0.00061958088,0.16278689999999998,0.00170193346,0.06395678199999999,0.0023665998200000002,0.00949124383,7.2993341e-05,0.7827402,0.27032274
49LNGaXGJgKZ4UBCOIMhRm,Casey Veggies,Show Off,0.517,0.713246054287733,0.01292048,0.0016750059,0.014254686,0.014145371,0.0004890814,0.012727746,0.024336554,0.00035373762,0.00083773583,0.0005940794,0.0018715435,0.0535513513,0.00041520018,0.006549691149999999,0.00302645624,0.25310327725,0.00022407244999999998,0.6162057,0.44664064
30r107ODEMiFUEpnFHSGW7,Gabriel & Dresden,Only Road - Cosmic Gate Remix,0.146,0.5515528594442719,0.016277589,0.030694937,0.036517598,0.036566723,0.008643852,0.04088581,0.038370106,0.0013740209,0.0043882756,0.0020404987,0.0026696048999999998,0.039234129,0.019023843999999998,0.0300858914,0.0067768943,0.1343214516,0.00098826338,0.50778663,0.5486433
0FJoQJfco7sQOWdsnmveKi,Jim Jones,Epitome,0.451,0.7231436315199917,0.0068225353,0.0011955929,0.016114982,0.025490286,0.00023118987,0.009594188,0.0403448,0.00028841972,0.001152277,0.00013449359,0.0007509565399999999,0.030193465,0.00015261584800000001,0.0049627323,0.00047089148299999994,0.23840080000000002,5.2822625e-05,0.6658947,0.44724858
2CpObWf3NaoSNacD2Q0qDg,Dave East,Peter Pan,0.474,0.5573532838627641,0.007884588,0.0127178095,0.058832858,0.007950714,0.0018034938,0.024242718,0.016032524,9.644523e-05,0.00023244438,7.513136e-05,1.91469112e-05,0.15053997,0.00041138146,0.014596106999999999,8.851841256e-05,0.13654387225,1.38768722e-06,0.63801014,0.36569247
68apB2cfkGYOrg3kdflQp8,Jim Jones,Catch on Yet (feat. Trav),0.643,0.7063186948795703,0.0076087597,0.0019492641,0.03358628,0.057874646,0.00060228404,0.021585947,0.032543764,0.00019470761,0.001877116,0.00013927097,0.00010462599000000001,0.056264311,0.00015158579,0.0102396743,0.0004331902477,0.15656616850000002,2.6691029e-05,0.73487234,0.40293014
15mZpm7dj6D4rTQgsAgATN,at Wendys,Clownin,0.395,0.6386388614595765,0.012712994,0.0296377,0.05486672,0.015655639,0.0057488377,0.04174446,0.008110467,0.00038612762,0.002353442,0.00024958517,0.00042137389,0.120281992,0.0023828949,0.0267128045,0.00175671024,0.161202171,9.4700812e-05,0.53988737,0.39195397
0qOJ4izstFWRwNSCbTCRjr,ODESZA,Higher Ground - pluko Remix,0.1369999999999999,0.6523700554735674,0.010391746,0.021730974,0.05118039,0.04883444,0.016288726,0.031208305,0.028841931,0.0022946636,0.0012021451,0.00091073976,0.00130573325,0.203260537,0.0046570541,0.026438924,0.0108129506,0.1110224574,0.0008763609700000001,0.53752077,0.45576927
06CbumM4wwwZn8XhtTwtdX,Ferry Corsten,Safe With Me (ASOT 859),0.429,0.5140675133758652,0.00046137953,0.009772875,0.023241699,0.042441275,0.00070798636,0.05059011,0.011383888,0.000283959,0.00022120494,4.244982e-05,4.3665414e-06,0.09507464,0.00155739384,0.0308070825,0.0002136541896,0.009986034535,4.2590472e-06,0.9404705,0.3287006
7AFsTLIdPx2SELCYy1irD2,Klingande,Rebel Yell,0.311,0.6818547469423943,0.0032510834,0.0011102455,0.023838753,0.050663963,0.00014864224,0.020879539,0.038300183,5.3496333e-05,0.00036036622,2.183455e-05,1.17254686e-06,0.193992524,4.4022463999999996e-05,0.0256660585,0.0001036833361,0.04395537555000001,1.57216323e-06,0.86628914,0.46075293
6d3e80za42D1MkSGRgIX1o,Kimbra,Right Direction,0.317,0.5176366492950777,0.058500696,0.091428705,0.07670459,0.00844228,0.00978541,0.033729378,0.007092443,0.004704087,0.0019962436,0.0006651581,0.0004957200000000001,0.0473922155,0.0058485858,0.0341251315,0.006388616079999999,0.176405968,0.000172378694,0.40167007,0.6383916
3genr9NTp4WKeR3xEO0zdY,Neon Cassettes,Go up High,0.288,0.6142359977420374,0.008863902,0.009119395,0.019351842,0.060859963,0.00682455,0.080840886,0.0133111775,0.004129331,0.0067526265,0.00076724286,0.004255723,0.0928277,0.0061567123000000005,0.052588277999999995,0.004702213899999999,0.024129148849999997,0.00403183927,0.8392691,0.36938465
5ggqYhfoEPJfqg6sjAtBEn,ALPHA 9,No Going Back (ASOT 859),0.176,0.5334436592905689,0.004013052,0.00956234,0.030680956,0.11455074,0.002357036,0.044654474,0.026627619,0.00044795795,0.0009335724,0.0013242493,0.000163588813,0.075533855,0.00223957005,0.054769099,0.00559142822,0.012330119575,0.00040290966199999997,0.8102806,0.2855016
6LrJKZmIiw9TQyXq73O9Kb,Armin van Buuren,The Last Dancer (ASOT 859),0.355,0.5331276316758516,0.009427022,0.0046681915,0.058060408,0.106852606,0.0018571406,0.039952073,0.023832219,0.00021113595,0.0049896766,0.00042367482,1.3043744e-05,0.07466370800000001,0.00081905091,0.043633111,0.001370010756,0.0155340555,0.000265735715,0.8487302,0.39824805
